customer_text,amazon_reply
@AmazonHelp how can I contact amazon please tell..,"@309028 Hi, what Amazon website are you using? https://t.co/Znefn5I14N or another Amazon website? ^JJ"
@AmazonHelp U all are fool so me are assuring me and someone ask abt issue what the hell u waisting my time,@360103 We can't start to investigate till you share the details over the link we had shared. Appreciate your understanding. ^CB
@AmazonHelp I have highlighted thus issue over phone call to u all 10 times they and u both are same but it being 2 days no action have taken,"@360103 I understand you being upset. However, for us to help you on this please share your details &amp; we'll get back to you. ^BS"
@AmazonHelp What detail,@360103 Please respond to the email you've received from our team and we'll assist you accordingly. ^SU
@360290 @115830 yep im a prime member and ordered months ago!! Got an email on Thursday saying it was posted and yesterday nothing!,@360289 I'm sorry for the delay. Please contact us directly so we can look into this for you: https://t.co/JzP7hlA23B ^JF
@AmazonHelp Yes that’s it! I bought an item but I’m not sure if the credit is deducted at checkout or on my statement. I didn’t see it on my order :(,@161841 The $10 credit applies at checkout to any item shipped and sold by Amazon. Review your order here: https://t.co/Y5jpI9gRhE ^QJ
"Bought a £60 repair mask. Amazon driver comes by, I wave from the basement saying PLEASE LEAVE IT BY THE ENTRANCE. He throws it downstairs.",@361608 I'm sorry to hear it was delivered like this! I can understand the concern. Was there any damage to the mask? ^BH
"@AmazonHelp Hello! Tks for reaching! As soon as I opened, I filled a complaint on the delivery via My Orders page. Yes, the mask was broken in two 😒",@361608 Oh no! I'm so sorry to hear that. Let's look in to what options are available for you here: https://t.co/aaDyEz1VgE ^NM
"@AmazonHelp I already sent a Delivery Feedback via the options in my page telling it all, so I wonder if I should just wait for a feedback then? xxx","@361608 Let's look at the link NM provided for replacement/refund options. If it was sold by a seller, use the Contact seller option. ^FR"
@amazonhelp Las ofertas de Black Friday también valen para Amazon México o solo aparecen en Amazon USA?,"@356325 Hola, Adrian. Nuestras páginas son independientes, por lo que cada una cuenta con sus propias promociones. ^JQ"
@7462 Looping @115850 too because I paid through amazon,@363623 Sorry to know you received incomplete talk time. Kindly connect with our team here: https://t.co/R3EfhzgU8B. ^PS
@AmazonHelp 2 failed delivery attempts before the office closes. I suspect the driver wanted an early night twice! Please could you help resolve this?,"@138649 Hi, Jamie! I'm sorry about the failed delivery attempts with your orders. Please contact us so we can discuss this issue in real time. https://t.co/JzP7hlA23B We look forward to hearing from you! ^VR"
"@AmazonHelp I rang the customer support line so fingers crossed! Thanks for the reply, hopefully they will arrrive tmrw","@138649 You're welcome, Jamie! Please keep us posted! ^SW"
Kinda sucks when you package is all jacked up when you get it. Thanks @115821 @118706 https://t.co/5kj4vdpxZ2,@363785 We're sorry it was delivered in this way! Are the contents of the package damaged? We want to ensure this is addressed. ^JE
@AmazonHelp Yes thankfully the contents were not damaged.,"@363785 Okay good! To report the carrier and the condition of delivery, please reach out to us here: https://t.co/hApLpMlfHN ^AH"
@AmazonHelp Why is it so hard to communicate with the customer service representative? They do not  don’t understand what I am saying. Is there a language barrier here? I never had such horrible customer service in my life!,@138665 I'm sorry for the poor experience. Can you tell us more about your concern? Please don't include any account details. ^RA
@AmazonHelp @115850 no one is contacting me from ur side as well.. it's been over 45 days now. I haven't received my money or my product.,@364093 Have you submitted your details through the secured link shared previously? ^HK
@AmazonHelp @115850 please ask someone to contact me right away,"@364093 Thanks for filling in the details, Sanket. We'll review the same and get in touch with you soon. ^JC"
@AmazonHelp yes I did,@364093 We have received your details. We are working on it. We'll get back to you at the earliest. ^SB
@AmazonHelp @115850 neither they initiated refund for the same. please look into it and do the needful,@364093 I apologize for the inconvenience. Kindly share your details here: https://t.co/beaaDm0muc and I’ll contact you soon. ^VH
@120533 Wtf amazon ?? https://t.co/PgUQEZD8DN,"@364127 Bonsoir, pourriez-vous m'expliquer davantage SVP?^FT"
"@AmazonHelp Bonsoir, oui il est marqué livraison gratuite devant le produit sauf que lorsque je veux passer commande, j’ai une livraison de 16,47 ?",@364127 Je présume que l’adresse de livraison n'est pas en France ! ^RA
@AmazonHelp J’habite en seine maritime ?,"@364127 et le mode de livraison choisi est bien "" Livraison Rapide - Recevez-le mercredi 18 octobre "" ! ^RA"
@115830 @115850 Please check my DM,@364164 Please send us your query via DM and we'll help you. ^ZH
"@AmazonHelp Delivery for Thurs, no delivery attempt. Fri again, no delivery attempt. Cust services promised today. NO DELIVERY AGAIN. 😡",@364425 I'm truly sorry for the delayed order and poor experience! We'll deliver until 21:00. Keep us posted on the arrival. ^MB
"@AmazonHelp Sorry to say I've been let down again. Spent all of my only day off waiting for this. Should have been delivered Thursday. 
Not good enough",@364425 This wasn't our intention! Have you had the chance to reach us via phone/chat to address this together and explore options? ^JE
"@AmazonHelp I did this yesterday which is when I was told it would arrive today.
So I spent the day waiting....","@364425 When you spoke with us directly, did we indicate a date we can refund or replace the order if it hasn't arrived? ^JR"
@AmazonHelp wonderful answer! Join Prime and get these benefits (except of course when you don’t)... Hmmm 🤔,"@365349 Chris, I'm sorry if you're not getting the full use of your benefits. Did you have an issue you want to discuss with us, possibly a shipping issue? Did we miss the mark? ^SY"
@120533 qu'est ce qui est jaune et qui attend? https://t.co/I6FbBHvVfO,@365408 🤔
@AmazonHelp Ou puis-je les contacter ?,"@366249 Vous pouvez joindre notre SAV directement  via : https://t.co/hgIrz98cdI afin d'y remédier.
^KE"
"@AmazonHelp Non, dans quel but ?","@366249 N'ayant pas accès à votre compte client via Twitter, on ne peut vérifier votre commande. Notre SAV vous apportera de l'aide.^ASZ"
"@120533 Vous pouvez m’expliquer à quoi sert Amazon Prime ? Non parce que si c’est pour avoir ma commande sous 5 jours, non merci hein.. https://t.co/2rLde5amL2","@366249 Bonjour, je suis désolée pour le retard de livraison. L'avez-vous signalé à notre SAV ? ^SM"
"@AmazonHelp @128308 m tlkng abt 1. havng #SwitchOffFacility voice/Button2. making voice search across all apps &amp; not jst to #amazonprimeHome",@366268 We value your feedback and I will certainly forward this to our internal team for a review. ^BS
"@128308 hi amazon, pls update your voice search software for #firetvstick  remote to work with other apps search too. 1/2",@366268 I have noted your comments and will be sure to forward this as a feedback to our team internally. ^MK
@AmazonHelp @115830 When will Battlefront 2 will be back up for preorder in the UK? (Physical copy),@366441 We don't have that info at the moment. Please keep an eye on the website for updates. ^RS
@AmazonHelp Just been 17 days. Unfair. Already in touch with them. Will be visiting the service centre.,@366446 I'm positive that the manufacturer will be able to fix your problem. Appreciate your understanding.(2/2)^SF
@AmazonHelp Just been 17 days. Unfair. Already in touch with them. Will be visiting the service centre.,@366446 The return window for mobiles is 10 days. I'm for the inconvenience due to policy and the suggested system of working.(1/2)^SF
"@AmazonHelp When I visit that link, it shows return window closed :(  this is the current status of the phone. https://t.co/KZCZFVAi3U","@366446 As the return window is closed, kindly contact the manufacture directly. ^SY"
@115850 Hey! whom do I contact regarding support? Cannot see any option on the site. Recently purchased OnePlus5 but it is a faulty device,"@366446 Hi, If you're having any issue with your phone, kindly request for a return here: https://t.co/xFcIy3LLwX and 1/3 ^SB"
@115850 Hey! whom do I contact regarding support? Cannot see any option on the site. Recently purchased OnePlus5 but it is a faulty device,@366446 reported accurately. We will provide a resolution on the basis of the Smartchk app diagnostic results. 3/3 ^SB
@115850 Hey! whom do I contact regarding support? Cannot see any option on the site. Recently purchased OnePlus5 but it is a faulty device,@366446 follow the instructions. The diagnostic app is the first step to check your phone and evaluate the issue 2/3 ^SB
"@116928 Trying to claim refund for the government funded bank of books, ,( banco de llibres) please advise","@366777 What information do you need from us, Katie? ^AR"
@AmazonHelp The government funded books I ordered for school I have the forms for refund and no one seems able to help,"@366777 Katie, can you confirm from which market are the books from Amazon Mexico, Amazon Brazil or other? ^DA"
@AmazonHelp Vendido por Casa &amp; de Viajes y gestionado por Amazon.,@322588 Entiendo. ¿Cuál era o es la fecha de entrega del pedido? ^JD
"@115850 I am very disappointed to your return service.I have requested 6 time for return,but till now no any response given by your side.",@367063 We’ll help you fix this.  2/2 ^SB
"@115850 I am very disappointed to your return service.I have requested 6 time for return,but till now no any response given by your side.",@367063 I understand your disappointment regarding the pick up. Please drop in your details here: https://t.co/GIJyeYqKE0 1/2 ^SB
@AmazonHelp Now customer care guys are saying that they cannot do anything. I want to send emails to amit agarwal. plese provide me the same.,@367173 That's odd. We'd like to look into it. Kindly share your details here: https://t.co/beaaDm0muc and we'll get back to you. ^AP
@AmazonHelp When will amazon restock this item? https://t.co/aZYC5gwH2K,"@274976 Hey Ben. The website always displays the most accurate info. Once we've more info, the website will be updated. ^TP"
"@AmazonHelp Yes, between shioty online and phone customer service and being double charged for an item, I will no longer be using your services, ever.","@367527 Hi, is it an authorization perhaps? If so, it'll drop off &amp; disappear: https://t.co/oi0cSSkfq0 ^TS"
"@AmazonHelp it wasn't a $1 authorization, it was $25.60 your Rep said was authorization, why the full amount? AND it wasn't my first order ever.","@367527 Hey Steve. If the charges are identical, then it's likely to be an authorization charge. Can you see the charge as pending? ^TP"
@115850 You misplaced my order stupid people ? Very poor service by you..Shame on you..Idiots..,@367689 Sorry for the trouble with your order. Could you please elaborate on your concern? We'd like to look into it. ^HD
@AmazonHelp bonjour j’ai peur soucis on peut passer dm c’est à propos du questionnaire de fiscalité de twitch 🙏,"@368121 Bonjour, je vous invite à initier la conversation. ^SM"
"@AmazonHelp I tried for 3 hours yesterday! Same issue, no way to chat. Your app forces you to type contact number so they can call. I am not okay with this.

I tried again, just now. Same thing. No way to chat or email the issue. Please DM, I have an issue with a product I bought.","@139253 Hello, June! Unfortunately, I am not able to initiate a direct message. Please initiate this on your end. We definitely want to help! ^RO"
@116875 Siiii..fue regalo y le encanto...mil gracias,"@368927 Aww, nos alegra muchísimo saberlo. 😄💕 Ese siempre es nuestro objetivo. 😉📦 ^KS"
@AmazonHelp Seguiré esperando,@369523 De acuerdo Kronos. En caso de que nos necesites no dudes en contactarnos. ^MB
"@AmazonHelp Me lo dijo ayer, pero no me ha vuelto a decir nada, no sé ni cómo me hará el abono.",@369523 (2/2)una reclamación de la Garantía de la A a la Z desde la siguiente página web: https://t.co/KlzvwWfTaw . ^MB
"@AmazonHelp Me lo dijo ayer, pero no me ha vuelto a decir nada, no sé ni cómo me hará el abono.","@369523 Entiendo, en este caso el vendedor tiene 48h para responder tu consulta, en caso no recibir ninguna respuesta presentar (1/2)"
@AmazonHelp Pues me han dicho que me devuelven el dinero pero no he vuelto a saber nada de ellos,"@369523 Entiendo, ¿hace cuánto tiempo hablaste con el vendedor?, por favor verifica esta información: https://t.co/XGPK7RchYY ^AZ"
This rain is ridiculous. None of my packages has arrived because amazon lazy ass workers don’t want to get out the delivery van,@370825 I'm so sorry. Please reach out to our team using this secure link so we can investigate: https://t.co/yi3pL2nhaL ^GR
@AmazonHelp No. https://t.co/5BA1oMe9xR shipped to India.,@371004 You can find more info regarding our return shipping policies here: https://t.co/zqDxAERzeJ ^BG
@AmazonHelp só que o kindle tá registrado e não é a 1° vez que faço compra assim,@371488 Acesse o seguinte link por favor: https://t.co/ZiHpEeIJIs  ^JJ  (2/2)
@AmazonHelp só que o kindle tá registrado e não é a 1° vez que faço compra assim,"@371488 Se seu Kindle estiver registrado na conta errada,você precisará cancelar o registro e,então, registrá-lo em sua conta.^JJ(1/2)"
@AmazonHelp Foi a primeira coisa que eu fiz,@371488 Neste caso por favor entre em contato com o nosso Serviço de Atendimento no seguinte link: https://t.co/ouAOLcNWp4 ^JJ
"@AmazonHelp Ah, obrigada",@371488 Nada! Nossa equipe vai resolver para você! ^JJ
"@AmazonHelp Plz use simple language instead pf sign language, i had already responded to them..!
EARTH MOST CUSTOMERS CENTRIC COMPANY =be on ur words..?",@197580 Thank you for confirming that you have responded to our email. Our team shall reach out to you soon. ^MP
@115850 @AmazonHelp Didn't receive my order as the delivery person refused to do so!,@372207 Sorry to hear that. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ^RB
"@AmazonHelp It's a residential address, so either the driver got the wrong address, or they lied, which aren't good excuses","@372453 I'm sorry for the delay! Typically, late packages arrive within the next 1-2 business days. Please keep us posted. ^KB"
"@AmazonHelp Thanks, already returned the product, just check the replacement should be better one.",@372745 Thank you letting us know. We'll forward this internally to make sure these won't be repeated. ^VN
@AmazonHelp Oke habe die App neu installiert. Alles geht wieder. Wohl ein Update Fehler gewesen. Danke für den schnellen Support ! 😍✌,"@373103 Danke für die Rückmeldung! 😊 Freut uns, dass es durch Neuinstallation wieder läuft. 👍 Gruß ^MH"
@115830 is it not possible to pay for a years Prime subscription with built up Amazon gift vouchers? And if not why not?,@373354 Gift Cards can't be used as payment for a Prime membership fee. Please check out our help pages here: https://t.co/C7UIyaB3TV
@115821 my prime order from da 12th did not deliver and I leave town da 16th then customer service is terrible I need to reconsider prime https://t.co/vBsxqcDXfQ,@340248 I'm sorry for the poor experience. We'd like to help. What is the most recent tracking update: https://t.co/Y5jpI9gRhE?  ^KB
@AmazonHelp Yes,"@177687 If you've shared your details, you must have received a correspondence from our team. Request you to check. ^SQ"
"Qual foi, @117086 libera a compra por boleto ai, nunca te pedi nada","@375977 Olá Capitão Fantástico, no momento não temos previsão, mas temos a opção de cartão de crédito pré-pago, você pode 1/2"
"Qual foi, @117086 libera a compra por boleto ai, nunca te pedi nada","@375977 2/2 carregá-lo usando boleto bancário e, em seguida, usá-lo para fazer compras: https://t.co/uGlzcu3q6T. ^DA"
@115821 very disappointed,@377121 I'm sorry for the frustration! Please follow these steps when looking for your missing package: https://t.co/UEylYyD1Uj ^KB
"@AmazonHelp No, it seems to be that it doesnt leave the Amazon warehouse until late the first day, this missing delivery on 2nd day. Different items, different carriers.",@377484 We'd like to take a look into this so we can get to the bottom of it. Please reach out to us here: https://t.co/hApLpMlfHN ^DG
@AmazonHelp so angry that for the second time a 'next day delivery' has been delayed. What is the point of my Prime membership at this rate,"@378019 I'm sorry for the wait, Darryl. Have we provided a reason for the delay or an updated delivery date? ^EA"
"@AmazonHelp Updated delivery date but that isn't the point! As prime member I arrange delivery for when is convenient, plus next day should mean that!","@378019 again, we are sorry to about that, delays do happen from time to time for unforeseen reasons. ^AS"
Gah - my @117634 stopped charging :(  Gonna try to let it sit on the charger for a bit longer.,@163682 I apologize for the poor experience! We're here to help. Which Kindle device are you using?  ^AY
@115821 Why would my package say delivered if it’s not?,"@377121 Hi Lori, please check this page for information: https://t.co/p4rRjMsQCj ^AT"
@115821 what pathetic service u have.u guys send me  a different product not ready to replace nd not initiating refund.No value 4 customers.,@378617 Sorry about the inconvenience. Kindly drop in your details here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^KC
@115850 while one plus official web site is giving away free head phones &amp; protective case .. his amazon also providing the same ? https://t.co/6UkXXDUm4p,"@378937 website are the best, we are able to provide at this moment. (2/2) ^KA"
@AmazonHelp Can u let me know . Even u ppl also providing the same ?,"@378937 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^AK 2/2"
@AmazonHelp Can u let me know . Even u ppl also providing the same ?,"@378937 Kindly check the product detail page, the technical details block to know what's in the box. ^AK"
@115850 while one plus official web site is giving away free head phones &amp; protective case .. his amazon also providing the same ? https://t.co/6UkXXDUm4p,@378937 Pricing and offers are decision of the sellers. The offers that you are able to see on the product page on our (1/2) ^KA
Acabo de encontrar un mega ofertón en @116875 con Super Mario Odyssey y con Prime me salió aún más barato 😱😱 https://t.co/iyUoc3enKD,@379033 ¿Está emocionado por recibirlo? 😀 ^JQ
"@AmazonHelp Bastante, por estas ofertas me encanta comprar con ustedes","@379033 Nos alegra mucho escuchar eso. ¡Gabo, esperamos que disfrutes mucho! ^HC"
@116618 @AmazonHelp J'ai jamais vu des subs aussi mal timé que sur gunslinger stratos tout etait decalé :( dire qu'on paye pour ça :s,"@379060 Bonjour Sebastien, désolée pour cela. Je vous invite à le signaler à notre SAV via le lien suivant : https://t.co/hgIrz98cdI
^SM"
"Think twice before give them your credit card and shopping @115821 you'll risk having your account hacked, their customer service, which happens to be in the Philippine is incompetent and unhelpful. You're left waiting &amp; when you get someone they don't understand anything you say","@140408 
I am so sorry for the trouble, Bianca. We are here to help! Have you received an email from our account specialist? ^SC"
@115821 I ordered a mic for my brother 2 days ago it shows on my card statement just no order confirmation. Doesn't even show I ordered it!!,"@379670 Truly sorry for any inconvenience! With Twitter, we have no access to account or order information. Have you received any order confirmation e-mails? Please, let us know. We're here for you! ^JE"
"@AmazonHelp I called customer serv, they called usps and the usps rep blamed your routing. The second the usps rep was off the phone Amazon blamed usps","@118079 When you were on the phone with us, did we mention a date as to when we could provide more options? ^TN"
@115830 @AmazonHelp pleased to be given full refund.,"@351179 As we're unable to view your account via Twitter,pls contact here:https://t.co/JzP7hlA23B  so we can look into this.^KM"
"@AmazonHelp They did not. The wrinkle is, I board a plane for the U.K. In the am and these items were part of the attire for the wedding im in.","@118079 Hey, Mike! Were the other late items also shipped via USPS? You can check here: https://t.co/Y5jpI9gRhE ^LA"
@AmazonHelp Yes,@118079 I hope you are willing to give us a chance in the future to make things right. ^TN (2/2)
@AmazonHelp Yes,"@118079 I'm sorry we let you down on this order. If the order arrives too late, you can return them for a full refund. ^TN (1/2)"
When your @115821 delivery isn’t here even though you pay for Prime and it was scheduled for today. https://t.co/wcYceHB4al,@380436 I'm sorry for the wait! Late packages typically get delivered the next day by 8 PM. Please keep us posted on its arrival. ^JM
@AmazonHelp Typically when I pay for 2 day delivery I expect it to be delivered on time. I’ve been waiting for the delivery all day and didn’t even receive an email or notification that it was delayed.,"@380436 (1/2) Jake, our intent isn't to let you down. If possible, can you provide us with the carrier: https://t.co/Y5jpI9gRhE?"
@AmazonHelp Typically when I pay for 2 day delivery I expect it to be delivered on time. I’ve been waiting for the delivery all day and didn’t even receive an email or notification that it was delayed.,@380436 (2/2) Does the tracking on the carrier's website indicate a delay? Let us know. ^AR
@1384 card was swiped twice for 1 transaction.chasing delivery team since last 13 days for refund.cs not https://t.co/xw1gUuxJC5. https://t.co/yKcFsjrkxJ,@370614 Apologies for the trouble you've had. Have you escalated this to our support team here: https://t.co/2t6DQoUmNZ for help? ^MM
@AmazonHelp Thanks for your prompt response,"@370614 You did the right thing tweeting your concern, did you have a word with our support team using the link shared? ^MJ"
@AmazonHelp Unable to reach your customer care 18003009014,@370614 A call back will be arranged if you provide your number here: https://t.co/vlvfJr4nN9 ^MJ
@116618 @47685 Is there a reason that the season pass/entire season can’t be purchased? Only have the option to buy one at a time,@128282 Let us know if this works for you! If not then we will be more than happy to help! (2/2) ^SA
@AmazonHelp I know how to purchase a season TV pass. I do it for multiple shows all the time. Issue is that it’s not having the option for Ghost Wars.,"@128282 Some shows do not have a TV season pass. If the option is not on the show's page, then it's not available for that show. ^AJ"
@116618 @47685 Is there a reason that the season pass/entire season can’t be purchased? Only have the option to buy one at a time,@128282 Here are the steps on how to purchase a TV Season Pass:https://t.co/nq9wuU19q5... (1/2)
@115850 @AmazonHelp sad! I am not able to complete my transaction either payments fails or i am getting such errors https://t.co/4VzpJtDntK,@381143 I'm sorry for the disappointment. Are you repeating this order from the same account? Is there any canceled order before? ^MJ
"Hi @AmazonHelp, I had a Fresh delivery scheduled tonight but only received about half of my items. Can you help?",@381346 We'd be happy to assist! Please contacts us via phone here: https://t.co/hApLpMlfHN for real-time support! ^VB
2017 living; buying tahini online for delivery within 2 hours @117795 https://t.co/2SSHG3vQYG,"@381491 Yummy, good choice Paul ^KM"
Hay empresas que se hay robado mi corazón y después esta @115821,"@381556 Hola Alejandro, ¿cómo te podemos ayudar? ^MB"
@AmazonHelp How do you charge shipping charges for COD customer if he hasn't self shipped it,@297351 Please contact us from the link given earlier and we'll be sure to help you. ^ZH
"@115821 Last week notice was ""business closed."" We are a RESIDENCE, not business. Were not closed. @123967 has been carrier each time.","@381832 I'm sorry your packages are not being delivered on time, Chasity! Please reach out to us here: https://t.co/hApLpMlfHN ^TN"
thanks @115821 https://t.co/HE4mDI7EEt,@382012 Oh no! We'd like to look into this further. Could you link us to the item detail page? ^HM
"@AmazonHelp Hola, hice pedido el 07/08/17 y no he recibido nada, ni los productos ni correo. El cargo en banco sí se hizo. Solución??","@382815 Hola Escarlota, lamento el inconveniente. El pedido, ¿es vendido por Amazon o es vendido por un vendedor externo? ^DA"
@AmazonHelp Ese es el correo que mandó Amazon,"@382815 Por motivo de seguridad, sugiero no compartir información personal como número del pedido por este medio. Respecto a 1/2"
@AmazonHelp Ese es el correo que mandó Amazon,"@382815 2/2 tu pedido, se trata de un vendedor externo, recomendamos contactarlo para verificar tu pedido: https://t.co/GAByNylQWw.^DA"
@AmazonHelp Ya hemos enviado correo de reclamación al vendedor y no ha contestado,"@382815 Entiendo, por favor entra en contacto con Soporte al Cliente para que puedan verificar tu caso: https://t.co/OjvUxwnzPe. ^DA"
@AmazonHelp MY DOGS COSTUME NEEDS TO COME IN TIME FOR HALLOWEEN PLS HELP A GIRL OUT https://t.co/drMQqM1hVG,@383189 I'm sorry for the trouble! Check here to see if upgraded shipping is available: https://t.co/Y5jpI9gRhE ^SE
昨日急ぎで欲しいものあって今日届くようにAmazonで注文したら違うもの届いた…そんな😔😔…,@383263 なお、マーケットプレイスの出品者が発送する商品の場合には、出品者毎にポリシーを設けているため、恐れ入りますが、出品者に直接お問い合わせください。出品者へのお問い合わせ方法はリンクよりご確認ください。https://t.co/ZXCXcbN3Tv TN
昨日急ぎで欲しいものあって今日届くようにAmazonで注文したら違うもの届いた…そんな😔😔…,@383263 ご迷惑をおかけしております。お届けした商品に問題があった場合、Amazonが発送する商品は返品・交換（可能な商品のみ）にて対応させていただいております。お手数ですが、リンクを参照の上お手続きください。https://t.co/TYbxdUDknb TN
"@AmazonHelp @383454 @AmazonHelp you have to give a solution or a way to get the issue sorted , instead of backing out. @AmazonHelp",@383455 Apologies for the trouble with the order. I'd like to take a closer look at this. ^AK (1/2)
"@AmazonHelp @383454 @AmazonHelp you have to give a solution or a way to get the issue sorted , instead of backing out. @AmazonHelp",@383455 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2)
"@AmazonHelp Hello, when will I get an update? I’ve been waiting all day...",@140831 We're sorry for the wait. I can confirm we have received your information and will be reaching out to you soon to assist. ^TE
"@AmazonHelp Hello, I haven’t heard anything since, is there an update on this?",@140831 I'm sorry for the wait. We're still investigating the situation and will get back to you as soon as possible.^PJ
@AmazonHelp text on his phone for god knows how long and then mess with his satnav all while looking at my door in between,@140838 We'd like to look into this for you. Please leave us your details here: https://t.co/GFouKz1UQU ^MH
@AmazonHelp amazon logistics,@140838 I can confirm Amazon Logistics deliver until 9pm every day. Please keep us posted with the progress of this order Charlotte.^GA
@AmazonHelp Again? I've been in contact numerous times this week &amp; assured each time that my package would be with me 'the next day'.,"@140847 I'm sorry, Shane! We don't have access to account information via Twitter. But, we'd like to help! What does the latest tracking show for your order here? https://t.co/aaDyEz1VgE ^TK"
@AmazonHelp Despite me contacting @122232 on Monday to arrange for Wednesday and then Amazon contacting them twice supposedly on Wednesday evening.. https://t.co/mpPxdupZu3,@140847 This isn't the kind of experience we want you to have at all! Our team would like to look into this and assure that it's addressed. Please provide as much detail as possible about the delivery issues you're been facing at the following link: https://t.co/qGWEcCRdBk ^WT
@115850 @AmazonHelp M waiting for assistance,@381143 Please report this to our support team here : https://t.co/rS49hgaADF so that we can assist you accordingly. ^RI
@AmazonHelp Forget it,@381143 Kindly connect with us via the above link. We'll check this for you. ^SG
@AmazonHelp You call me my no 8765861689 your customer care no koi bhe ni lagta hai 18003000__credit_card__ 180030009009 sare no bekar mail id bekar,@384790 support team from here: https://t.co/cVT5bH3FJf 2/3 ^SH
@AmazonHelp You call me my no 8765861689 your customer care no koi bhe ni lagta hai 18003000__credit_card__ 180030009009 sare no bekar mail id bekar,@384790 Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 3/3 ^SH
@AmazonHelp You call me my no 8765861689 your customer care no koi bhe ni lagta hai 18003000__credit_card__ 180030009009 sare no bekar mail id bekar,@384790 Kindly drop your details through the link provided earlier so that we can get back to you. You can reach out to our 1/3 ^SH
"@AmazonHelp Actually, it raises questions about your professionalism. Yes, I have replied, and got another email explaining the same thing differently.",@384925 We'd like to get things sorted for you. Kindly respond to the latest email you received from us and we'll help. ^MA
@AmazonHelp I had written everything in the first email. Have nothing new to write now.,"@384925 If you've responded to our email, we'll look into it and get back to you with an update. ^SQ"
@AmazonHelp Fantastic! Another email for an order for a saree. Great job,"@384925 Sorry to know that, Pritimaya. Please revert to the email you've received from us and we'll check this out. ^MS"
@115850  still waiting for assembly that was scheduled 10 to 12.... live chat not helpful,"@385068 I’m sorry about the delay in assembly. I’d like to assist you, please fill this form: https://t.co/beaaDm0muc. ^RW"
@AmazonHelp filled in but your can arrange a pick up this item not waiting any longer,@385068 Thanks for sharing your details. We'll check and revert at the earliest. ^HK
"@AmazonHelp @385257 @AmazonHelp have just replied now, thanks Amazon, the manufacturer never got back to me","@385256 Dean, my apologies about the delay. I hope the link I provided was helpful. If you want more choices, type in this search: Easy Home Remote Control Socket Set compatible with Alexa for more options. ^SY"
@AmazonHelp did you miss the point I can no longer log into my Prime account?,"@231087 I understand your frustration! Have you already tried a password reset? If so, you may reach us through this link: https://t.co/1e9mMI6ASL It won't require you to sign in. Select ""I cannot sign in to my account"" from the menu. ^SJ"
"@AmazonHelp waiting on responce email now, thanks",@231087 You're welcome! ^DA
"@AmazonHelp Ja, aber dann schreib ich heute nochmal..","@385776 Meine Kollegen helfen dir gerne. Lass dich doch zurückrufen, dann bekommst du sofort eine Antwort. ^DW"
